ds,yhat,yhat_lower,yhat_upper
2023-01-01,101.43710963682784,95.25233757685956,108.26253257060299
2023-01-02,101.91560751775981,95.78932530253762,107.84688000383716
2023-01-03,101.1260666511047,94.81781396506538,107.49186425329185
2023-01-04,102.21784253369607,96.40038234107995,108.51891315488261
2023-01-05,101.87273383503612,96.12749338937832,108.07415348130955
2023-01-06,103.20614115394285,97.09531230607965,108.97672210938514
2023-01-07,102.69840019592809,96.7417625373363,109.12082829937549
2023-01-08,103.22373151707966,97.61014129378317,109.39632970833442
2023-01-09,103.57618507410008,97.28231336014194,109.35338236971562
2023-01-10,102.6760112053661,96.50998974476553,108.81073368951583
2023-01-11,103.6742352447505,97.5944812889892,109.84554657499615
2023-01-12,103.25385882693496,96.91222663499879,109.59480685106787
2023-01-13,104.53100613431276,98.5601871521803,110.46485729381249
2023-01-14,103.98625778338625,97.5237649683387,109.82689053344355
2023-01-15,104.49361410663835,98.2264327101497,110.80401680415987
2023-01-16,104.84646531965653,98.33905781440652,110.74596777748752
2023-01-17,103.96399911735719,97.87572462391513,110.10712837977714
2023-01-18,104.99582152617047,98.48296009777266,111.16639956479133
2023-01-19,104.62321244868822,98.32822552100227,110.70195448396544
2023-01-20,105.96033233334846,99.65010999967207,111.96806823546082
2023-01-21,105.48562071225092,98.86192734608845,111.40662821660065
2023-01-22,106.07082633150154,99.90306098793008,111.85718310533662
2023-01-23,106.50704431799687,100.76261887357516,112.75109305855563
2023-01-24,105.71118892754254,99.93556196169011,112.10465826673344
2023-01-25,106.83067580782584,100.55420757528266,113.05828567543038
2023-01-26,106.54473348952556,100.28240955443408,112.87400152293087
2023-01-27,107.96565900470121,101.8414972678297,114.09402921715106
2023-01-28,107.5702571250157,101.07242145978411,113.57004075136409
2023-01-29,108.22890195958144,102.51300788111304,114.23308692428779
2023-01-30,108.7315956930046,102.57493458347665,115.14506778842421
2023-01-31,107.9944526714733,101.765133953541,113.97493099668937
2023-02-01,109.16438276650601,102.95688601055936,115.70766321998266
2023-02-02,108.92039404364306,103.060621463869,115.02462310808974
2023-02-03,110.37483028155314,103.54004151071798,116.90947024029701
2023-02-04,110.0047837368591,103.90608474068594,115.78869236643636
2023-02-05,110.68112307073167,104.4836221242673,116.67594452851688
2023-02-06,111.19451259630799,105.31606208599676,117.40777802142593
2023-02-07,110.46185259774995,104.44981594017808,116.46084919892667
2023-02-08,111.63091630545757,105.6331103699559,117.74879469710386
2023-02-09,111.38160526645973,105.18524981419543,117.51658571022267
2023-02-10,112.827140367917,106.83122088684954,119.09629497941735
2023-02-11,112.44543056726664,106.59723992592203,118.85437760402563
2023-02-12,113.10806079541865,107.16355459914908,119.50273090106286
2023-02-13,113.60627658538841,107.80979776166154,119.55993940308335
2023-02-14,112.8573963697795,106.49926203568124,118.91747356463665
2023-02-15,114.00942798597437,107.85212635071889,119.81850763656638
2023-02-16,113.7423118148652,107.29184052093815,120.27773738007983
2023-02-17,115.16910821012827,108.73741758274465,121.13020182471787
2023-02-18,114.76737136874364,108.74432460284078,121.14527380369508
2023-02-19,115.40815091727842,109.337456269238,121.9967743380446
2023-02-20,115.88199825161624,110.09971250855273,121.86121249440374
2023-02-21,115.1054078219619,109.17198062870271,121.49990134711129
2023-02-22,116.22546887071024,109.77623709925086,122.77029919723238
2023-02-23,115.92114881348549,110.03913542031376,122.2833100392936
2023-02-24,117.30452450698623,110.91488920180593,123.3752178011692
2023-02-25,116.85220201367028,110.87621469937017,123.10449683258958
2023-02-26,117.43436450616036,111.18031354685087,124.03047855192844
2023-02-27,117.8408237203903,111.7701172163516,124.27714104491973
2023-02-28,116.98750350847855,110.61305287042697,123.19867267538746
2023-03-01,118.02112946764271,111.98733823316162,123.96714335933224
2023-03-02,117.62054442218215,111.99784030707647,123.90208991860115
2023-03-03,118.89796476720129,112.9596575151747,125.39682469562624
2023-03-04,118.33041726609596,112.4140547112812,124.5128681140986
2023-03-05,118.78879517739557,112.26437346882666,124.72213274834749
2023-03-06,119.06390862949976,113.11028867502566,125.71975968852605
2023-03-07,118.07295759830785,111.65600396215392,124.25633872685742
2023-03-08,118.96420157031486,112.57317866451794,125.33262647073198
2023-03-09,118.41824607609865,111.96650116607539,125.28817289900867
2023-03-10,119.54926180132861,113.60789302448886,125.51175105658743
2023-03-11,118.83637683691143,112.53380197076983,124.9893386109337
2023-03-12,119.15268215618708,112.69648044151526,125.5086650885198
2023-03-13,119.29122665647644,113.31773426438342,125.40060370512042
